Port_IDs,PnL,Total_Positions,Win_Positions,Win_Rate,ROI,Sharpe_Ratio,MDD,Rank_ROI,Rank_Sharpe,Rank_PnL,Rank_Win_Rate,Rank_MDD,Total_Rank,ROI_z,PnL_z,Sharpe_Ratio_z,Win_Rate_z,MDD_inv,MDD_inv_z,Weighted_Score
3999240873283311617,42574.47367879,4522.0,2366.0,0.5232198142414861,1.0932908380976325,0.22750533430745346,300.81384848999005,78.0,47.0,2.0,20.0,79.0,226.0,-0.3206159941999053,4.900760251556274,0.3025431614942485,1.01186198604439,-300.81384848999005,0.30604214189127,2.1074009438165615
3768170840939476993,243.66889897,14.0,6.0,0.42857142857142855,31.78550515767253,0.4242774564031249,0.0,1.0,11.0,140.0,56.0,1.0,209.0,8.505685917300797,-0.5632081511992757,1.7730391058027122,0.38461563985559394,-0.0,0.4178979693696341,1.203907933216509
3986814617275053313,16337.46188064,3554.0,2780.0,0.7822172200337648,1.6859968242654695,0.3297865686167943,2.38194747,49.0,20.0,8.0,2.0,41.0,120.0,-0.15016879465280056,1.5141437155966722,1.066900117291179,2.728269247568103,-2.38194747,0.4170122564724244,0.8633063426651211
4021669203289716224,26427.33159178,1682.0,528.0,0.31391200951248516,0.8121235348786193,0.06825074237072411,2537.8666286100033,91.0,122.0,3.0,104.0,134.0,454.0,-0.40147257496054184,2.816522198036279,-0.887580871632756,-0.3752462547948118,-2537.8666286100033,-0.5257925329057102,0.840014521927008
3826087012661391104,532.65697373,108.0,63.0,0.5833333333333334,17.565918152037344,0.6751014185094156,12.925980129999992,2.0,1.0,137.0,8.0,46.0,194.0,4.416493568329648,-0.5259061977524904,3.6474693608840227,1.410241577412741,-12.925980129999992,0.41309152109383884,0.7640031299681376
4028701921959171840,17601.401398240003,687.0,373.0,0.5429403202328966,0.7985926538828009,0.2757238783298301,585.677599929998,92.0,32.0,6.0,15.0,94.0,239.0,-0.40536371293951495,1.677290285171291,0.662884721417506,1.1425521741605058,-585.677599929998,0.20011726244884825,0.7602313864170176
3956076827719377409,16790.01223802,3916.0,2019.0,0.5155771195097038,2.01428711787532,0.09952801745500311,635.050014530003,43.0,105.0,7.0,22.0,97.0,274.0,-0.05576083777339986,1.572557933475158,-0.6538429535241613,0.961212919907561,-635.050014530003,0.1817584258546873,0.6900506486190238
3936410995029308417,10681.514,20.0,6.0,0.3,5.955681070532478,0.2989837004791926,0.0,19.0,26.0,13.0,109.0,1.0,168.0,1.0776840357731827,0.7840862392932276,0.8367074853929022,-0.46744283134572795,-0.0,0.4178979693696341,0.6621636924277067
3907081197088384000,18015.99737026,4137.0,2540.0,0.6139714769156394,2.1914685580574753,0.22272929259108767,2060.7071223800012,37.0,52.0,5.0,7.0,131.0,232.0,-0.004807952201868898,1.7308054333667944,0.26685136786532565,1.6132842757108563,-2060.7071223800012,-0.34836362902896406,0.6161482347113076
4022565861939831809,14197.577075890002,705.0,372.0,0.5276595744680851,0.4692666550330663,0.29960236775731947,385.07555368999965,117.0,24.0,9.0,18.0,85.0,253.0,-0.5000695123611107,1.2379320295796687,0.8413308421655633,1.0412848162424284,-385.07555368999965,0.2747099315984361,0.60342657702763
3960874214179953664,19567.47128569,2391.0,1233.0,0.5156838143036386,0.45918101151096397,0.16294781502532266,2233.9999999899956,118.0,76.0,4.0,21.0,132.0,351.0,-0.5029698874781017,1.9310663189252524,-0.17990104486966235,0.9619199992642689,-2233.9999999899956,-0.4128015474242596,0.5692751050445422
4020204877254599680,71998.85595307,6050.0,1993.0,0.3294214876033058,0.63358262221024,0.060748033614845466,21338.051187780005,103.0,126.0,1.0,96.0,149.0,475.0,-0.4528164103175414,8.698795650446465,-0.943649295753745,-0.2724630599744059,-21338.051187780005,-7.516528535147644,0.543803332726144
3939318616482048768,9775.38910984,315.0,118.0,0.3746031746031746,1.9383805142909147,0.20382946098037483,87.00335997999991,44.0,63.0,15.0,77.0,60.0,259.0,-0.07758965055753536,0.6671256051985778,0.12561120927134814,0.026961466758742905,-87.00335997999991,0.38554629117126576,0.4164376344249042
4008711265867865600,11298.70638977,394.0,166.0,0.4213197969543147,0.6183868005027597,0.2662895922745809,509.54999999999995,105.0,35.0,12.0,61.0,91.0,304.0,-0.4571863429912493,0.863752093360149,0.592381444662963,0.33655819647142465,-509.54999999999995,0.22842485442593485,0.41284711078117275
3788465932399412480,13960.966456670001,3069.0,1369.0,0.44607363962202673,1.6536697373780231,0.15291214877945936,1772.2194397900003,52.0,84.0,10.0,45.0,126.0,317.0,-0.1594652444239707,1.2073908444096944,-0.2548984904214271,0.5006049180032706,-1772.2194397900003,-0.241091212498267,0.3749178363469369
3998572645139652353,9603.585359879999,266.0,95.0,0.35714285714285715,0.9404644249995646,0.26229086225664516,214.71515507000004,83.0,38.0,16.0,85.0,75.0,297.0,-0.3645649920796371,0.6449495500505813,0.5624985719717794,-0.08875017747847361,-214.71515507000004,0.3380574252488759,0.36879889089408974
4029749871687083265,3662.13654822,856.0,367.0,0.4287383177570093,6.548711229442733,0.3538772369515271,0.0,14.0,16.0,51.0,55.0,1.0,137.0,1.248224459173942,-0.1219597667544697,1.2469318702885932,0.38572163475590715,-0.0,0.4178979693696341,0.3530715851827475
3977234346014419201,2427.2928308600003,83.0,33.0,0.39759036144578314,8.55593117720845,0.3047358693024751,0.0,3.0,22.0,87.0,66.0,1.0,179.0,1.8254499756290306,-0.28135071358600156,0.8796939655686963,0.17930034559021532,-0.0,0.4178979693696341,0.3457391389177681
3886752488982104320,7195.178324639999,1249.0,931.0,0.745396317053643,1.8038224652046706,0.22171358766665433,38.20810000000074,46.0,54.0,21.0,3.0,50.0,174.0,-0.11628513057379022,0.33407759734442993,0.2592609126926809,2.48425265188981,-38.20810000000074,0.4036905162775322,0.33664977684368547
3944088772635000577,7581.4919834,6063.0,2774.0,0.4575292759360053,1.3902423589557498,0.2991410762565448,97.20372502999987,64.0,25.0,19.0,41.0,63.0,212.0,-0.23522027302831722,0.3839421259305673,0.8378835688739569,0.5765228110591466,-97.20372502999987,0.3817533465346524,0.32362651470244047
